UNITID,LATITUDE,LONGITUDE,ADM_RATE_ALL,PPTUG_EF,SAT_AVG_ALL,COSTT4_A,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,MEDIAN_HH_INC,MN_EARN_WNE_INDEP0_P10,MN_EARN_WNE_INDEP1_P10,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,year
173124,47.482341,-94.874119,0.74951380785686,0.2836,1120.0,21352.0,2,9806.0,9806.0,55158.96,44300.0,43200.0,0.8093,0.0282,0.0294,0.0171,0.0359,0.0006,0.0527,0.0188,0.008,2022
173160,45.057655,-93.161663,0.88682926829268,0.1519,1188.0,53361.0,1,40080.0,40080.0,77038.37,48700.0,67400.0,0.8011,0.0448,0.0583,0.0461,0.0035,0.0013,0.0331,0.003,0.0087,2022
173665,44.966246,-93.164479,0.76430002225684,0.0269,1140.0,52529.0,1,46221.0,46221.0,70958.04,49700.0,66400.0,0.5775,0.1114,0.1192,0.0839,0.005,0.0017,0.0699,0.0062,0.0252,2022
173920,44.146712,-93.99945,0.69479663251851,0.1392,1120.0,21060.0,2,9146.0,18200.0,66314.89,48400.0,48300.0,0.7176,0.0607,0.0512,0.037,0.0031,0.0004,0.0352,0.0891,0.0057,2022
174066,44.972851,-93.235464,0.73447121097547,0.0702,1368.0,27508.0,2,15254.0,33818.0,70741.62,58200.0,74000.0,0.6284,0.0712,0.0518,0.1181,0.0025,0.0005,0.0459,0.0618,0.0198,2022
174233,46.817126,-92.084385,0.79542143600416,0.0604,1220.0,25227.0,2,13850.0,19148.0,68076.22,52500.0,89400.0,0.8365,0.0241,0.0364,0.0338,0.0057,0.0001,0.0391,0.0101,0.0142,2022
174358,46.867153,-96.759532,0.71714922048997,0.1776,1120.0,22319.0,2,9468.0,17564.0,54641.42,45400.0,41900.0,0.8086,0.0492,0.0397,0.0161,0.0061,0.0005,0.0389,0.0349,0.0058,2022
174783,45.553227,-94.152657,0.94323557237464,0.2187,1085.0,19875.0,2,9170.0,18010.0,66422.48,48700.0,48200.0,0.6378,0.1069,0.0491,0.057,0.0021,0.0003,0.032,0.1113,0.0035,2022
174899,46.816082,-92.106134,0.73694298035457,0.157,1205.0,51880.0,1,39410.0,39410.0,60287.14,54600.0,58100.0,0.8102,0.045,0.0366,0.0248,0.0112,0.0009,0.0281,0.0234,0.0197,2022
174914,44.943439,-93.188986,0.75525768430783,0.0308,1222.0,60092.0,1,48329.0,48329.0,76939.14,63600.0,56000.0,0.7207,0.0458,0.0703,0.0481,0.0018,0.0008,0.0378,0.0328,0.0418,2022
175005,44.924926,-93.183761,0.74887892376681,0.3044,1133.0,51940.0,1,46494.0,46494.0,71786.79,47300.0,55500.0,0.5452,0.1249,0.1229,0.1328,0.0031,0.0031,0.0369,0.0071,0.024,2022
175272,44.046159,-91.643723,0.76907216494845,0.1259,1120.0,22312.0,2,10184.0,16684.0,68678.3,48800.0,46600.0,0.8336,0.0323,0.0437,0.0328,0.0018,0.0005,0.0342,0.0175,0.0036,2022
175342,31.877216,-91.142854,0.38908487238016,0.14,1086.0,22940.0,2,8176.0,8176.0,38329.94,34800.0,35600.0,0.0186,0.9266,0.0109,0.0012,0.0012,0.0061,0.0,0.0355,0.0,2022
175421,32.318415,-90.169228,0.64017907106883,0.3235,1106.0,36113.0,1,27825.0,27825.0,57705.44,40200.0,44000.0,0.3811,0.402,0.0374,0.0129,0.0031,0.0006,0.0245,0.0208,0.1176,2022
175430,34.67209,-89.02924,0.99086757990867,0.0468,1068.0,26868.0,1,17380.0,17380.0,44968.64,28900.0,29500.0,0.6898,0.1438,0.063,0.0016,0.0081,0.0,0.0258,0.0646,0.0032,2022
175616,33.744745,-90.735365,0.99778024417314,0.1381,1020.0,21105.0,2,8360.0,8360.0,39124.62,37800.0,36900.0,0.5396,0.3607,0.0233,0.0047,0.0023,0.0012,0.0169,0.0355,0.0157,2022
175856,32.296105,-90.207405,0.62111801242236,0.148,975.0,24637.0,2,8445.0,9445.0,43401.54,34500.0,32000.0,0.0175,0.9439,0.0059,0.0019,0.0032,0.0013,0.0086,0.0177,0.0,2022
176017,34.365529,-89.537434,0.89662587681122,0.064,1201.0,25492.0,2,9044.0,25886.0,53374.26,53500.0,64400.0,0.7754,0.1182,0.0427,0.0208,0.0028,0.0008,0.0241,0.0098,0.0056,2022
176035,33.493305,-88.418601,0.99289099526066,0.1129,1083.0,20480.0,2,7756.0,7756.0,43147.25,38500.0,39300.0,0.5556,0.4024,0.0011,0.012,0.0153,0.0011,0.0,0.0125,0.0,2022
176044,33.514142,-90.341274,0.78605388272583,0.1565,900.0,20315.0,2,7068.0,7068.0,34674.56,29000.0,24800.0,0.0152,0.9521,0.0182,0.0046,0.0015,0.0023,0.0053,0.0,0.0008,2022
176053,32.335515,-90.329821,0.48995297135528,0.0744,1185.0,35853.0,1,20364.0,20364.0,52824.92,44600.0,45600.0,0.6747,0.1863,0.037,0.0205,0.0036,0.0004,0.0196,0.0334,0.0245,2022
